accession	category	organism	description
XP_002498619.1	Lsm (eukaryote)	Zygosaccharomyces rouxii	RNA-binding protein LSM5
XP_041407369.1	Lsm (eukaryote)	Maudiozyma barnettii	RNA-binding protein LSM5
XP_003955664.1	Lsm (eukaryote)	Kazachstania africana CBS 2517	RNA-binding protein LSM5 KAFR_0B02310
XP_022465465.1	Lsm (eukaryote)	Huiozyma naganishii CBS 8797	RNA-binding protein LSM5 KNAG_0G01610
XP_018222812.1	Lsm (eukaryote)	Saccharomyces eubayanus	RNA-binding protein LSM5
XP_037139368.1	Lsm (eukaryote)	Torulaspora globosa	RNA-binding protein LSM5 HG536_0D02160
XP_003679758.1	Lsm (eukaryote)	Torulaspora delbrueckii	RNA-binding protein LSM5 TDEL_0B04180
XP_037142833.1	Lsm (eukaryote)	Zygotorulaspora mrakii	RNA-binding protein LSM5 HG535_0B01430
XP_004178168.1	Lsm (eukaryote)	Henningerozyma blattae CBS 6284	RNA-binding protein LSM5 TBLA_0A08590
XP_045935771.1	Lsm (eukaryote)	Saccharomycodes ludwigii	RNA-binding protein LSM5 SCDLUD_001621
XP_022629285.1	Lsm (eukaryote)	Lachancea lanzarotensis	RNA-binding protein LSM5 LALA0_S07e01596g
XP_022674366.1	Lsm (eukaryote)	Kluyveromyces marxianus DMKU3-1042	RNA-binding protein LSM5
XP_454410.1	Lsm (eukaryote)	Kluyveromyces lactis	RNA-binding protein LSM5
XP_003647111.1	Lsm (eukaryote)	Eremothecium cymbalariae DBVPG#7215	RNA-binding protein LSM5 Ecym_5554
XP_017989211.1	Lsm (eukaryote)	Eremothecium sinecaudum	RNA-binding protein LSM5
NP_986796.1	Lsm (eukaryote)	Eremothecium gossypii ATCC 10895	RNA-binding protein LSM5
XP_043048068.1	Other	Lizanozyma spartinae	RNA-binding protein
XP_065958263.1	Other	Clavispora lusitaniae	RNA-binding protein
sp|O26745.1|RUXX_METTH	Sm-core (eukaryote)		RecName: Full=Putative snRNP Sm-like protein
YP_448199.1	SmAP (archaea)	Methanosphaera stadtmanae DSM 3091	small nuclear ribonucleoprotein
EAN01277.1	SmAP (archaea)	Methanococcoides burtonii DSM 6242	Small nuclear ribonucleoprotein (Sm protein)
ZP_00543408.1	SmAP (archaea)	Methanosarcina barkeri str. fusaro	Small nuclear ribonucleoprotein (Sm protein)
AAL81666.1	SmAP (archaea)	Pyrococcus furiosus DSM 3638	small nuclear ribonucleoprotein, putative
BAD85165.1	SmAP (archaea)	Thermococcus kodakarensis KOD1	snRNP component, Sm-like protein
NP_988268.1	SmAP (archaea)	Methanococcus maripaludis S2	small nuclear ribonucleoprotein
ZP_01153713.1	SmAP (archaea)	Methanosaeta thermophila PT	Like-Sm ribonucleoprotein, core
YP_504465.1	SmAP (archaea)	Methanospirillum hungatei JF-1	like-Sm ribonucleoprotein, core
BAB59502.1	SmAP (archaea)	Thermoplasma volcanium GSS1	small nuclear ribonucleoprotein
YP_023448.1	SmAP (archaea)	Picrophilus torridus DSM 9790	small nuclear ribonucleoprotein
EAM93838.1	SmAP (archaea)	Ferroplasma acidarmanus Fer1	Small nuclear ribonucleoprotein (Sm protein)
NP_003086.1	Sm-core (eukaryote)	Homo sapiens	small nuclear ribonucleoprotein F isoform 1
XP_084895937.1	Sm-core (eukaryote)	Anopheles oryzalimnetes	small ribonucleoprotein particle protein SmF
XP_017472843.1	Sm-core (eukaryote)	Rhagoletis zephyria	small ribonucleoprotein particle protein SmF isoform X1
XP_067638126.1	Sm-core (eukaryote)	Eurosta solidaginis	small nuclear ribonucleoprotein F isoform X1
XP_017472844.1	Sm-core (eukaryote)	Rhagoletis zephyria	small ribonucleoprotein particle protein SmF isoform X2
XP_060660883.1	Sm-core (eukaryote)	Drosophila nasuta	small ribonucleoprotein particle protein SmF
XP_076270704.1	Sm-core (eukaryote)	Rhynchophorus ferrugineus	small ribonucleoprotein particle protein SmF
XP_072389136.1	Sm-core (eukaryote)	Diabrotica undecimpunctata	small ribonucleoprotein particle protein SmF
XP_080132421.1	Sm-core (eukaryote)	Coenobita brevimanus	small ribonucleoprotein particle protein SmF
XP_076069502.1	Sm-core (eukaryote)	Oratosquilla oratoria	small ribonucleoprotein particle protein SmF
XP_080020295.1	Sm-core (eukaryote)	Acartia tonsa	small ribonucleoprotein particle protein SmF
XP_074604481.1	Sm-core (eukaryote)	Brevipalpus obovatus	small ribonucleoprotein particle protein SmF
XP_001948152.1	Sm-core (eukaryote)	Acyrthosiphon pisum	small ribonucleoprotein particle protein SmF
XP_071440248.1	Sm-core (eukaryote)	Hetaerina americana	small nuclear ribonucleoprotein F
XP_065340068.1	Sm-core (eukaryote)	Cloeon dipterum	small nuclear ribonucleoprotein F
XP_084460798.1	Sm-core (eukaryote)	Amblyomma maculatum	small ribonucleoprotein particle protein SmF
XP_075677214.1	Sm-core (eukaryote)	Dermatophagoides pteronyssinus	small ribonucleoprotein particle protein SmF
XP_084828875.1	Lsm (eukaryote)	Sus scrofa	U6 snRNA-associated Sm-like protein LSm6 isoform X1
XP_075786102.1	Lsm (eukaryote)	Pelodiscus sinensis	U6 snRNA-associated Sm-like protein LSm6 isoform X1
XP_038647867.1	Lsm (eukaryote)	Scyliorhinus canicula	U6 snRNA-associated Sm-like protein LSm6 isoform X1
XP_083861881.1	Lsm (eukaryote)	Eutrigla gurnardus	U6 snRNA-associated Sm-like protein LSm6
XP_077576008.1	Lsm (eukaryote)	Stigmatopora nigra	U6 snRNA-associated Sm-like protein LSm6 isoform X2
XP_081217017.1	Lsm (eukaryote)	Scardinius erythrophthalmus	U6 snRNA-associated Sm-like protein LSm6 isoform 1
XP_063520229.1	Lsm (eukaryote)	Pongo pygmaeus	U6 snRNA-associated Sm-like protein LSm6 isoform X1
XP_080653003.1	Lsm (eukaryote)	Martes martes	U6 snRNA-associated Sm-like protein LSm6 isoform 1
XP_075470138.1	Lsm (eukaryote)	Ascaphus truei	U6 snRNA-associated Sm-like protein LSm6 isoform X1
XP_079391075.1	Lsm (eukaryote)	Tetrao urogallus	LOW QUALITY PROTEIN: U6 snRNA-associated Sm-like protein LSm6
XP_033796039.1	Lsm (eukaryote)	Geotrypetes seraphini	U6 snRNA-associated Sm-like protein LSm6 isoform X1
XP_073197388.1	Lsm (eukaryote)	Lepidochelys kempii	U6 snRNA-associated Sm-like protein LSm6 isoform X1
XP_083054488.1	Lsm (eukaryote)	Amphichorda felina	U4/U6-U5 snRNP complex subunit LSM6
XP_043133490.1	Lsm (eukaryote)	Aspergillus chevalieri	U4/U6-U5 snRNP complex subunit LSM6
XP_041556939.1	Lsm (eukaryote)	Aspergillus puulaauensis	U4/U6-U5 snRNP complex subunit LSM6
XP_045938304.1	Lsm (eukaryote)	Aspergillus melleus	U4/U6-U5 snRNP complex subunit LSM6
XP_076540982.1	Lsm (eukaryote)	Blastobotrys vanleenenianus	U4/U6-U5 snRNP complex subunit LSM6
XP_020062328.1	Sm-core (eukaryote)	Suhomyces tanzawaensis NRRL Y-17324	U4/U6-U5 snRNP complex subunit
XP_034013019.1	Sm-core (eukaryote)	Diutina rugosa	U4/U6-U5 snRNP complex subunit
XP_064759621.1	Sm-core (eukaryote)	Scheffersomyces coipomensis	U4/U6-U5 snRNP complex subunit
XP_064736194.1	Sm-core (eukaryote)	Scheffersomyces amazonensis	U4/U6-U5 snRNP complex subunit
XP_062808082.1	Sm-core (eukaryote)	Priceomyces carsonii	U4/U6-U5 snRNP complex subunit
XP_049262279.1	Sm-core (eukaryote)	Hemisphaericaspora subhashii	U4/U6-U5 snRNP complex subunit
XP_002421630.1	Sm-core (eukaryote)	Candida dubliniensis CD36	U4/U6-U5 snRNP complex subunit
XP_002546274.1	Sm-core (eukaryote)	Candida tropicalis MYA-3404	U4/U6-U5 snRNP complex subunit
XP_007374174.1	Sm-core (eukaryote)	Spathaspora passalidarum NRRL Y-27907	U4/U6-U5 snRNP complex subunit
XP_066827985.1	Sm-core (eukaryote)	Lodderomyces beijingensis	U4/U6-U5 snRNP complex subunit
XP_001527522.2	Sm-core (eukaryote)	Lodderomyces elongisporus	U4/U6-U5 snRNP complex subunit
XP_051674014.1	Sm-core (eukaryote)	Lodderomyces margitis	U4/U6-U5 snRNP complex subunit
XP_036664671.1	Sm-core (eukaryote)	Lodderomyces parapsilosis	U4/U6-U5 snRNP complex subunit
XP_051614606.1	Sm-core (eukaryote)	Lodderomyces pseudojiufengensis	U4/U6-U5 snRNP complex subunit
XP_020077639.1	Sm-core (eukaryote)	Hyphopichia burtonii NRRL Y-1933	U4/U6-U5 snRNP complex subunit
NP_010666.2	Lsm (eukaryote)	Saccharomyces cerevisiae S288C	U4/U6-U5 snRNP complex subunit LSM6
XP_037143809.1	Lsm (eukaryote)	Zygotorulaspora mrakii	U4/U6-U5 snRNP complex subunit LSM6 HG535_0C04350
XP_003674120.1	Lsm (eukaryote)	Naumovozyma castellii	U4/U6-U5 snRNP complex subunit LSM6 NCAS_0A11810
XP_003685690.1	Lsm (eukaryote)	Tetrapisispora phaffii CBS 4417	U4/U6-U5 snRNP complex subunit LSM6 TPHA_0E01630
XP_001645165.1	Lsm (eukaryote)	Vanderwaltozyma polyspora DSM 70294	U4/U6-U5 snRNP complex subunit LSM6 Kpol_1062p15
XP_037140612.1	Lsm (eukaryote)	Torulaspora globosa	U4/U6-U5 snRNP complex subunit LSM6 HG536_0F02630
XP_003681044.1	Lsm (eukaryote)	Torulaspora delbrueckii	U4/U6-U5 snRNP complex subunit LSM6 TDEL_0D02490
XP_002498082.1	Lsm (eukaryote)	Zygosaccharomyces rouxii	U4/U6-U5 snRNP complex subunit LSM6
XP_003957662.1	Lsm (eukaryote)	Kazachstania africana CBS 2517	U4/U6-U5 snRNP complex subunit LSM6 KAFR_0E03760
XP_045934194.1	Lsm (eukaryote)	Saccharomycodes ludwigii	U4/U6-U5 snRNP complex subunit LSM6 SCDLUD_003233
XP_041405591.1	Lsm (eukaryote)	Maudiozyma barnettii	U4/U6-U5 snRNP complex subunit LSM6
XP_070908451.1	Lsm (eukaryote)	Nakaseomyces bracarensis	U4/U6-U5 snRNP complex subunit LSM6
XP_002999513.1	Lsm (eukaryote)	Nakaseomyces glabratus	U4/U6-U5 snRNP complex subunit LSM6 GVI51_A02871
XP_022463829.1	Lsm (eukaryote)	Huiozyma naganishii CBS 8797	U4/U6-U5 snRNP complex subunit LSM6 KNAG_0C04820
XP_064714833.1	Lsm (eukaryote)	Arxiozyma heterogenica	U4/U6-U5 snRNP complex subunit LSM6 PWA37_001501
XP_004177956.1	Lsm (eukaryote)	Henningerozyma blattae CBS 6284	U4/U6-U5 snRNP complex subunit LSM6 TBLA_0A06450
XP_022674918.1	Lsm (eukaryote)	Kluyveromyces marxianus DMKU3-1042	U4/U6-U5 snRNP complex subunit LSM6
XP_454062.1	Lsm (eukaryote)	Kluyveromyces lactis	U4/U6-U5 snRNP complex subunit LSM6
XP_017988252.1	Lsm (eukaryote)	Eremothecium sinecaudum	U4/U6-U5 snRNP complex subunit LSM6
NP_983606.1	Lsm (eukaryote)	Eremothecium gossypii ATCC 10895	U4/U6-U5 snRNP complex subunit LSM6
XP_003646479.1	Lsm (eukaryote)	Eremothecium cymbalariae DBVPG#7215	U4/U6-U5 snRNP complex subunit LSM6 Ecym_4639
XP_002554864.1	Lsm (eukaryote)	Lachancea thermotolerans CBS 6340	U4/U6-U5 snRNP complex subunit LSM6
XP_022626525.1	Lsm (eukaryote)	Lachancea lanzarotensis	U4/U6-U5 snRNP complex subunit LSM6 LALA0_S01e07096g
XP_018984280.1	Sm-core (eukaryote)	Babjeviella inositovora NRRL Y-12698	U4/U6-U5 snRNP complex subunit
XP_065958226.1	Sm-core (eukaryote)	Clavispora lusitaniae	U4/U6-U5 snRNP complex subunit
XP_018711838.1	Sm-core (eukaryote)	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	U4/U6-U5 snRNP complex subunit
XP_062876145.1	Sm-core (eukaryote)	Australozyma saopauloensis	U4/U6-U5 snRNP complex subunit
XP_028889922.1	Lsm (eukaryote)	Candidozyma auris	U4/U6-U5 snRNP complex subunit LSM6
XP_064775503.1	Sm-core (eukaryote)	Scheffersomyces xylosifermentans	U4/U6-U5 snRNP complex subunit
XP_015464667.1	Sm-core (eukaryote)	Debaryomyces fabryi	U4/U6-U5 snRNP complex subunit
XP_064850595.1	Lsm (eukaryote)	Saccharomycopsis crataegensis	U4/U6-U5 snRNP complex subunit LSM6
XP_020048510.1	Lsm (eukaryote)	Ascoidea rubescens DSM 1968	U4/U6-U5 snRNP complex subunit LSM6 ASCRUDRAFT_32300
XP_020073202.1	Lsm (eukaryote)	Williopsis jadinii	U4/U6-U5 snRNP complex subunit LSM6
XP_011275086.1	Sm-core (eukaryote)	Hansenula ciferrii	mRNA splicing protein SMX3 BN7_2589
XP_074111908.1	Sm-core (eukaryote)	Cotesia typhae	small ribonucleoprotein particle protein SmF
XP_082905052.1	Sm-core (eukaryote)	Prenolepis imparis	small ribonucleoprotein particle protein SmF isoform X1
XP_071630853.1	Sm-core (eukaryote)	Temnothorax longispinosus	small nuclear ribonucleoprotein F
XP_073977040.1	Sm-core (eukaryote)	Rhodnius prolixus	small ribonucleoprotein particle protein SmF
XP_077291215.1	Sm-core (eukaryote)	Arctopsyche grandis	small ribonucleoprotein particle protein SmF
XP_068618562.1	Sm-core (eukaryote)	Battus philenor	small nuclear ribonucleoprotein F isoform X1
XP_062623429.1	Sm-core (eukaryote)	Vanrija pseudolonga	Small nuclear ribonucleoprotein F
XP_065200148.1	Sm-core (eukaryote)	Planococcus citri	small nuclear ribonucleoprotein F
XP_082989056.1	Sm-core (eukaryote)	Lepisma saccharinum	small ribonucleoprotein particle protein SmF
XP_037087192.1	Sm-core (eukaryote)	Pollicipes pollicipes	small ribonucleoprotein particle protein SmF
XP_018898907.2	Sm-core (eukaryote)	Bemisia tabaci	small nuclear ribonucleoprotein F
CAH89328.1	SmAP (archaea)	Sulfolobus neozealandicus	putative snRNP (plasmid)
NP_341755.1	SmAP (archaea)	Sulfolobus solfataricus P2	small nuclear riboprotein (snRNP-1)
BAB65195.1	SmAP (archaea)	Sulfolobus tokodaii str. 7	90aa long hypothetical small nuclear ribonucleoprotein
NP_147628.1	SmAP (archaea)	Aeropyrum pernix K1	homolog of small nuclear ribonucleoprotein (snRNP)
AAB85915.1	SmAP (archaea)	Methanothermobacter thermautotrophicus str. Delta H	unknown
NP_001154102.1	Sm-core (eukaryote)	Oncorhynchus mykiss	small nuclear ribonucleoprotein D3 polypeptide, like
XP_069700998.1	Sm-core (eukaryote)	Periplaneta americana	small nuclear ribonucleoprotein Sm D3
XP_065333667.1	Sm-core (eukaryote)	Cloeon dipterum	small nuclear ribonucleoprotein Sm D3
XP_078044152.1	Sm-core (eukaryote)	Augochlora pura	small ribonucleoprotein particle protein SmD3
XP_003745624.1	Sm-core (eukaryote)	Galendromus occidentalis	small ribonucleoprotein particle protein SmD3
XP_084454435.1	Sm-core (eukaryote)	Amblyomma maculatum	small ribonucleoprotein particle protein SmD3
XP_067130254.1	Sm-core (eukaryote)	Centruroides vittatus	small nuclear ribonucleoprotein Sm D3
XP_037093051.1	Sm-core (eukaryote)	Pollicipes pollicipes	small ribonucleoprotein particle protein SmD3
XP_018901653.1	Sm-core (eukaryote)	Bemisia tabaci	small nuclear ribonucleoprotein Sm D3
XP_084888849.1	Sm-core (eukaryote)	Anopheles oryzalimnetes	small ribonucleoprotein particle protein SmD3
XP_002138132.1	Sm-core (eukaryote)	Drosophila pseudoobscura	small nuclear ribonucleoprotein Sm D3
XP_065082451.1	Sm-core (eukaryote)	Ochlerotatus camptorhynchus	small nuclear ribonucleoprotein Sm D3
XP_037050319.1	Sm-core (eukaryote)	Bradysia coprophila	small ribonucleoprotein particle protein SmD3
XP_070499911.1	Sm-core (eukaryote)	Chironomus tepperi	small nuclear ribonucleoprotein Sm D3
XP_074604920.1	Sm-core (eukaryote)	Brevipalpus obovatus	small ribonucleoprotein particle protein SmD3
XP_076256699.1	Sm-core (eukaryote)	Rhynchophorus ferrugineus	small ribonucleoprotein particle protein SmD3
XP_072382362.1	Sm-core (eukaryote)	Diabrotica undecimpunctata	small ribonucleoprotein particle protein SmD3
XP_066251496.1	Sm-core (eukaryote)	Euwallacea similis	small nuclear ribonucleoprotein Sm D3
XP_065173139.1	Sm-core (eukaryote)	Dalotia coriaria	small nuclear ribonucleoprotein Sm D3
XP_046916870.1	Sm-core (eukaryote)	Dermatophagoides farinae	small ribonucleoprotein particle protein SmD3
XP_077298865.1	Sm-core (eukaryote)	Arctopsyche grandis	small ribonucleoprotein particle protein SmD3
XP_065224434.1	Sm-core (eukaryote)	Planococcus citri	small nuclear ribonucleoprotein Sm D3
XP_080126293.1	Sm-core (eukaryote)	Coenobita brevimanus	small ribonucleoprotein particle protein SmD3 isoform X2
NP_001155808.1	Sm-core (eukaryote)	Acyrthosiphon pisum	small ribonucleoprotein particle protein SmD3
XP_040576905.1	Sm-core (eukaryote)	Lepeophtheirus salmonis	small nuclear ribonucleoprotein Sm D3
XP_075234761.1	Sm-core (eukaryote)	Lycorma delicatula	small ribonucleoprotein particle protein SmD3
XP_073993579.1	Sm-core (eukaryote)	Rhodnius prolixus	small ribonucleoprotein particle protein SmD3
XP_014272505.1	Sm-core (eukaryote)	Halyomorpha halys	small nuclear ribonucleoprotein Sm D3
XP_053616972.1	Sm-core (eukaryote)	Plodia interpunctella	small nuclear ribonucleoprotein Sm D3
XP_076485420.1	Sm-core (eukaryote)	Sporobolomyces salmoneus	mRNA splicing protein SMD3
XP_060122069.1	Sm-core (eukaryote)	Malassezia japonica	small nuclear ribonucleoprotein Sm D3
XP_036631009.1	Sm-core (eukaryote)	Pleurotus ostreatus	small nuclear ribonucleoprotein Sm D3
XP_069210925.1	Sm-core (eukaryote)	Vanrija albida	small nuclear ribonucleoprotein Sm D3
NP_177757.1	Sm-core (eukaryote)	Arabidopsis thaliana	snRNP core protein SMD3
XP_064699492.1	Sm-core (eukaryote)	Recurvomyces mirabilis	small nuclear ribonucleoprotein Sm D3
XP_065953172.1	Sm-core (eukaryote)	Plenodomus lingam	small nuclear ribonucleoprotein Sm D3
XP_045943677.1	Sm-core (eukaryote)	Aspergillus melleus	putative small nuclear ribonucleoprotein SmD3
XP_064750579.1	Sm-core (eukaryote)	Lithohypha guttulata	small nuclear ribonucleoprotein Sm D3
XP_058356270.1	Sm-core (eukaryote)	Cadophora gregata	small nuclear ribonucleoprotein Sm D3
XP_083045861.1	Other	Amphichorda felina	uncharacterized protein ACO1O0_008762
XP_036497345.1	Sm-core (eukaryote)	Colletotrichum siamense	Small nuclear ribonucleoprotein Sm D3
XP_066009592.1	Sm-core (eukaryote)	Colletotrichum fructicola Nara gc5	Small nuclear ribonucleoprotein Sm D3
XP_056037013.1	Sm-core (eukaryote)	Schizosaccharomyces osmophilus	Sm snRNP core protein Smd3
XP_047842098.1	Sm-core (eukaryote)	Purpureocillium takamizusanense	small nuclear ribonucleoprotein Sm D3
XP_076539957.1	Sm-core (eukaryote)	Blastobotrys vanleenenianus	mRNA splicing protein SMD3
XP_020063926.1	Sm-core (eukaryote)	Suhomyces tanzawaensis NRRL Y-17324	mRNA splicing protein, partial
XP_001483951.1	Sm-core (eukaryote)	Meyerozyma guilliermondii ATCC 6260	mRNA splicing protein
XP_006688015.1	Sm-core (eukaryote)	Yamadazyma tenuis	mRNA splicing protein
XP_049263781.1	Sm-core (eukaryote)	Hemisphaericaspora subhashii	mRNA splicing protein
XP_067549296.1	Sm-core (eukaryote)	Lodderomyces metapsilosis	mRNA splicing protein
XP_049179083.1	Sm-core (eukaryote)	Lodderomyces oxycetoniae	mRNA splicing protein
XP_066832570.1	Sm-core (eukaryote)	Lodderomyces beijingensis	mRNA splicing protein
XP_051622119.1	Sm-core (eukaryote)	Lodderomyces jiufengensis	mRNA splicing protein
XP_002548386.1	Sm-core (eukaryote)	Candida tropicalis MYA-3404	mRNA splicing protein
XP_043048413.1	Sm-core (eukaryote)	Lizanozyma spartinae	mRNA splicing protein
XP_002617811.1	Sm-core (eukaryote)	Clavispora lusitaniae	mRNA splicing protein
XP_025341426.1	Sm-core (eukaryote)	Candidozyma haemuli	mRNA splicing protein
XP_020078132.1	Sm-core (eukaryote)	Hyphopichia burtonii NRRL Y-1933	mRNA splicing protein
XP_062876265.1	Sm-core (eukaryote)	Australozyma saopauloensis	mRNA splicing protein
XP_034013525.1	Sm-core (eukaryote)	Diutina rugosa	mRNA splicing protein
XP_018985812.1	Sm-core (eukaryote)	Babjeviella inositovora NRRL Y-12698	mRNA splicing protein
XP_064851558.1	Sm-core (eukaryote)	Saccharomycopsis crataegensis	mRNA splicing protein SMD3
XP_020050132.1	Sm-core (eukaryote)	Ascoidea rubescens DSM 1968	mRNA splicing protein SMD3
XP_020071392.1	Sm-core (eukaryote)	Williopsis jadinii	mRNA splicing protein SMD3
XP_011276548.1	Sm-core (eukaryote)	Hansenula ciferrii	mRNA splicing protein SMD3
XP_017986001.1	Sm-core (eukaryote)	Eremothecium sinecaudum	mRNA splicing protein SMD3
XP_003646100.1	Sm-core (eukaryote)	Eremothecium cymbalariae DBVPG#7215	mRNA splicing protein SMD3 Ecym_4216
NP_013248.1	Sm-core (eukaryote)	Saccharomyces cerevisiae S288C	mRNA splicing protein SMD3
XP_022627627.1	Sm-core (eukaryote)	Lachancea lanzarotensis	mRNA splicing protein SMD3 LALA0_S03e01860g
XP_041406649.1	Sm-core (eukaryote)	Maudiozyma barnettii	mRNA splicing protein SMD3
XP_070908065.1	Sm-core (eukaryote)	Nakaseomyces bracarensis	mRNA splicing protein SMD3
XP_449549.1	Sm-core (eukaryote)	Nakaseomyces glabratus	mRNA splicing protein SMD3 GVI51_M04565
XP_001647202.1	Sm-core (eukaryote)	Vanderwaltozyma polyspora DSM 70294	mRNA splicing protein SMD3 Kpol_1036p91
XP_003684650.1	Sm-core (eukaryote)	Tetrapisispora phaffii CBS 4417	mRNA splicing protein SMD3 TPHA_0C00590
XP_037145616.1	Sm-core (eukaryote)	Zygotorulaspora mrakii	mRNA splicing protein SMD3 HG535_0F04020
XP_037138606.1	Sm-core (eukaryote)	Torulaspora globosa	mRNA splicing protein SMD3 HG536_0C00980
XP_003682504.1	Sm-core (eukaryote)	Torulaspora delbrueckii	mRNA splicing protein SMD3 TDEL_0F04820
XP_002497818.1	Sm-core (eukaryote)	Zygosaccharomyces rouxii	mRNA splicing protein SMD3
XP_003675665.1	Sm-core (eukaryote)	Naumovozyma castellii	mRNA splicing protein SMD3 NCAS_0C03090
XP_003671258.2	Sm-core (eukaryote)	Naumovozyma dairenensis CBS 421	mRNA splicing protein SMD3 NDAI_0G02400
XP_004177731.1	Sm-core (eukaryote)	Henningerozyma blattae CBS 6284	mRNA splicing protein SMD3 TBLA_0A04160
XP_022462216.1	Sm-core (eukaryote)	Huiozyma naganishii CBS 8797	mRNA splicing protein SMD3 KNAG_0A02810
XP_003958754.1	Sm-core (eukaryote)	Kazachstania africana CBS 2517	mRNA splicing protein SMD3 KAFR_0H02100
XP_064717088.1	Sm-core (eukaryote)	Arxiozyma heterogenica	mRNA splicing protein SMD3 PWA37_004948
XP_041137107.1	Sm-core (eukaryote)	Brettanomyces bruxellensis	small nuclear ribonucleoprotein Sm D3
XP_045935945.1	Sm-core (eukaryote)	Saccharomycodes ludwigii	mRNA splicing protein SMD3 SCDLUD_001800
XP_022676981.1	Sm-core (eukaryote)	Kluyveromyces marxianus DMKU3-1042	mRNA splicing protein SMD3
NP_008869.1	Sm-core (eukaryote)	Homo sapiens	small nuclear ribonucleoprotein Sm D1 isoform 1
NP_001278845.1	Sm-core (eukaryote)	Homo sapiens	small nuclear ribonucleoprotein Sm D1 isoform 2
XP_076357864.1	Sm-core (eukaryote)	Tachypleus tridentatus	small ribonucleoprotein particle protein SmD1
XP_084444693.1	Sm-core (eukaryote)	Amblyomma maculatum	small ribonucleoprotein particle protein SmD1
XP_037035169.1	Sm-core (eukaryote)	Bradysia coprophila	small ribonucleoprotein particle protein SmD1
XP_070490127.1	Sm-core (eukaryote)	Chironomus tepperi	probable small nuclear ribonucleoprotein Sm D1
XP_077283178.1	Sm-core (eukaryote)	Arctopsyche grandis	small ribonucleoprotein particle protein SmD1
XP_001353417.2	Sm-core (eukaryote)	Drosophila pseudoobscura	probable small nuclear ribonucleoprotein Sm D1
XP_073848237.1	Sm-core (eukaryote)	Musca autumnalis	small ribonucleoprotein particle protein SmD1
XP_065073391.1	Sm-core (eukaryote)	Ochlerotatus camptorhynchus	probable small nuclear ribonucleoprotein Sm D1 isoform X1
XP_011147646.1	Sm-core (eukaryote)	Harpegnathos saltator	small ribonucleoprotein particle protein SmD1 isoform X1
XP_076243859.1	Sm-core (eukaryote)	Calliopsis andreniformis	small ribonucleoprotein particle protein SmD1 isoform X2
XP_073973880.1	Sm-core (eukaryote)	Rhodnius prolixus	small ribonucleoprotein particle protein SmD1
XP_073963814.1	Sm-core (eukaryote)	Choristoneura fumiferana	small ribonucleoprotein particle protein SmD1
XP_011555090.1	Sm-core (eukaryote)	Plutella xylostella	small ribonucleoprotein particle protein SmD1
NP_001191919.1	Sm-core (eukaryote)	Acyrthosiphon pisum	small ribonucleoprotein particle protein SmD1
XP_071534719.1	Sm-core (eukaryote)	Panulirus ornatus	probable small nuclear ribonucleoprotein Sm D1 isoform X2
XP_068214755.1	Sm-core (eukaryote)	Palaemon carinicauda	probable small nuclear ribonucleoprotein Sm D1
XP_065160238.1	Sm-core (eukaryote)	Dalotia coriaria	probable small nuclear ribonucleoprotein Sm D1
XP_018914435.1	Sm-core (eukaryote)	Bemisia tabaci	probable small nuclear ribonucleoprotein Sm D1
XP_003741082.1	Sm-core (eukaryote)	Galendromus occidentalis	small ribonucleoprotein particle protein SmD1
XP_040572052.1	Sm-core (eukaryote)	Lepeophtheirus salmonis	probable small nuclear ribonucleoprotein Sm D1
XP_065217489.1	Sm-core (eukaryote)	Planococcus citri	probable small nuclear ribonucleoprotein Sm D1
XP_046913510.2	Sm-core (eukaryote)	Dermatophagoides farinae	small ribonucleoprotein particle protein SmD1
XP_074602899.1	Sm-core (eukaryote)	Brevipalpus obovatus	small ribonucleoprotein particle protein SmD1 isoform X1
XP_766470.1	Sm-core (eukaryote)	Theileria parva strain Muguga	Small nuclear ribonucleoprotein SmD1b
XP_056038076.1	Sm-core (eukaryote)	Schizosaccharomyces osmophilus	Sm snRNP core protein Smd1
XP_036629739.1	Sm-core (eukaryote)	Pleurotus ostreatus	mRNA splicing protein smd1
XP_043002190.1	Sm-core (eukaryote)	Marasmius oreades	mRNA splicing protein smd1
XP_060124085.1	Sm-core (eukaryote)	Malassezia japonica	Sm snRNP core protein Smd1
XP_056061818.1	Sm-core (eukaryote)	Malassezia vespertilionis	Sm snRNP core protein Smd1
XP_076495873.1	Sm-core (eukaryote)	Mrakia frigida	mRNA splicing protein SMD1
XP_069206086.1	Sm-core (eukaryote)	Vanrija albida	Sm snRNP core protein Smd1
XP_076510586.1	Sm-core (eukaryote)	Rhodotorula pacifica	mRNA splicing protein SMD1
XP_076485523.1	Sm-core (eukaryote)	Sporobolomyces salmoneus	mRNA splicing protein SMD1
XP_083054616.1	Sm-core (eukaryote)	Amphichorda felina	mRNA splicing protein SMD1
XP_023455483.1	Sm-core (eukaryote)	Cercospora beticola	mRNA splicing protein smd1
XP_064697082.1	Sm-core (eukaryote)	Recurvomyces mirabilis	Sm snRNP core protein Smd1
XP_064661735.1	Sm-core (eukaryote)	Saxophila tyrrhenica	Sm snRNP core protein Smd1
XP_044710908.1	Sm-core (eukaryote)	Fusarium poae	mRNA splicing protein smd1
XP_062806250.1	Sm-core (eukaryote)	Podospora pseudoanserina	Sm snRNP core protein Smd1
